title,description,ingredients,steps,tags,cuisine,difficulty,cook_time,servings,calories,diet_type,image_url,ownerUid,status
Fish Head Curry,Bold curry featuring whole fish head with vegetables.,"fish head, curry paste, okra, eggplant, tomato, coconut milk","Simmer curry paste in oil until aromatic, add coconut milk and water, then lower in the fish head. | Add vegetables and cook until the fish is tender and the flavors meld.","Singaporean, curry, seafood",Singaporean,Medium,50,4,430,Halal,,system,approved
Rendang (Beef),Slow-cooked dry curry with coconut and spices.,"beef, coconut milk, lemongrass, galangal, turmeric, chilies","Blend aromatics into a paste and fry until fragrant. | Add beef and coconut milk, then simmer slowly until the sauce reduces and coats the meat.","Malay, curry, beef",Singaporean,Hard,120,4,600,Halal,,system,approved
Otah Otah,Spiced fish paste grilled in banana leaf.,"fish paste, chilies, lemongrass, coconut milk, banana leaf","Mix fish paste with spices and coconut milk. | Spread onto banana leaf, fold, and grill until set and lightly charred.","Singaporean, snack, grill",Singaporean,Medium,20,2,260,Halal,,system,approved
Sup Tulang,Spicy bone marrow mutton stew.,"mutton bones, tomato paste, chilies, ginger, garlic","Brown mutton bones, then simmer with tomato paste, chili, ginger, and garlic until the marrow is soft and the broth is rich.","Singaporean, soup, mutton",Singaporean,Medium,120,4,480,Halal,,system,approved
Ayam Penyet,Smashed fried chicken with sambal and rice.,"chicken, turmeric, garlic, coriander, rice, sambal, cucumber","Marinate chicken with spices, fry until crispy, then smash lightly to tenderize. | Serve with rice, sambal, and cucumber.","Malay, chicken, rice",Singaporean,Medium,45,2,650,Halal,,system,approved
Nasi Goreng,Fried rice with sweet soy sauce and aromatics.,"rice, egg, shallot, garlic, kecap manis, chili","Fry shallot and garlic, add day old rice and toss with kecap manis and chili. | Push rice aside, scramble egg, then mix together and serve.","Malay, rice, fried",Singaporean,Easy,15,2,520,Halal,,system,approved
Sambal Stingray,Grilled stingray topped with sambal and wrapped in banana leaf.,"stingray, sambal, banana leaf, lime","Spread sambal over the fish and wrap in banana leaf. | Grill until the fish is just cooked and the sambal is fragrant, then serve with lime.","Singaporean, seafood, grill",Singaporean,Medium,20,2,400,Halal,,system,approved
Fried Hokkien Prawn Mee (Dry),Dry-style Hokkien noodles with prawns and pork lard.,"yellow noodles, vermicelli, prawns, pork lard, soy sauce, garlic","Render pork lard for oil, fry garlic, then add noodles and prawns and toss over high heat. | Season with soy sauce and a splash of stock if needed.","Singaporean, noodles, stir fry",Singaporean,Medium,20,2,700,Non-Halal,,system,approved
Kway Chap,Braised pork innards served with flat rice sheets and soy-braised sauce.,"pork belly, innards, dark soy sauce, spices, flat rice sheets",Braise meats in a soy spice broth until tender. | Serve with flat rice sheets and a side of chili.,"Singaporean, braise, pork",Singaporean,Hard,120,4,650,Non-Halal,,system,approved
Lor Mee,Thick starchy gravy over noodles with braised meat and vinegar.,"yellow noodles, braised pork, egg, garlic, vinegar, cornstarch","Simmer a garlicky stock and thicken with cornstarch. | Pour over noodles and top with braised meat, egg, and a dash of vinegar.","Singaporean, noodles, gravy",Singaporean,Medium,30,2,620,Non-Halal,,system,approved
Yong Tau Foo,Tofu and vegetables stuffed with fish paste in a light broth.,"fish paste, tofu, bitter gourd, eggplant, okra, broth",Stuff vegetables with fish paste and simmer in a light broth until cooked. | Serve with noodles or rice and dipping sauces.,"Singaporean, soup, light",Singaporean,Easy,25,2,350,Halal,,system,approved
Curry Puff,Flaky pastry filled with curried potatoes and chicken.,"pastry, potato, chicken, curry powder, onion","Cook a dry curry filling with potatoes and chicken. | Fill pastry rounds, crimp the edges, and fry or bake until golden.","Singaporean, snack, pastry",Singaporean,Medium,45,6,280,Halal,,system,approved
Kopi & Kaya Toast Set,Traditional breakfast with soft-boiled eggs and kaya toast.,"white bread, kaya, butter, eggs, soy sauce, white pepper",Toast bread and assemble kaya toast with cold butter. | Serve with soft boiled eggs seasoned with soy sauce and white pepper.,"Singaporean, breakfast, set",Singaporean,Easy,10,1,420,Vegetarian,,system,approved
Prawn Mee Soup,Prawn noodle soup with a rich prawn-shell broth.,"prawns, pork bones, noodles, bean sprouts, kang kong, fried shallots","Toast prawn shells and simmer with pork bones to make a rich stock. | Serve over noodles with prawns, vegetables, and fried shallots.","Singaporean, noodles, soup",Singaporean,Medium,60,2,550,Non-Halal,,system,approved
Bee Hoon Goreng,Spicy fried rice vermicelli with vegetables and egg.,"rice vermicelli, egg, cabbage, carrot, garlic, kecap manis, chili","Prepare and measure all ingredients required for bee hoon goreng before you start cooking. | Heat a pan, pot, or wok and cook the aromatics until fragrant to build flavor. | Add the main ingredients and seasonings, then cook until the textures are just right. | Adjust seasoning to taste and serve immediately while hot and fresh.","Singaporean, noodles, spicy",Singaporean,Medium,25,2,520,Halal,,system,approved
Maggi Goreng,"Stir-fried instant noodles with sweet soy sauce, egg, and vegetables.","instant noodles, egg, tomato, cabbage, garlic, kecap manis, chili","Prepare and measure all ingredients required for maggi goreng before you start cooking. | Heat a pan, pot, or wok and cook the aromatics until fragrant to build flavor. | Add the main ingredients and seasonings, then cook until the textures are just right. | Adjust seasoning to taste and serve immediately while hot and fresh.","Singaporean, noodles, hawker",Singaporean,Medium,25,2,520,Halal,,system,approved
Oyster Omelette,Crispy omelette with juicy oysters and chili dip.,"oysters, egg, tapioca starch, garlic, chives","Prepare and measure all ingredients required for oyster omelette before you start cooking. | Heat a pan, pot, or wok and cook the aromatics until fragrant to build flavor. | Add the main ingredients and seasonings, then cook until the textures are just right. | Adjust seasoning to taste and serve immediately while hot and fresh.","Singaporean, seafood, hawker",Singaporean,Medium,25,2,520,Halal,,system,approved
Ban Mian,Handmade noodles in a savory anchovy broth with pork and greens.,"handmade noodles, anchovies, minced pork, egg, vegetables, garlic","Prepare and measure all ingredients required for ban mian before you start cooking. | Heat a pan, pot, or wok and cook the aromatics until fragrant to build flavor. | Add the main ingredients and seasonings, then cook until the textures are just right. | Adjust seasoning to taste and serve immediately while hot and fresh.","Singaporean, noodles, soup",Singaporean,Medium,25,2,520,Non-Halal,,system,approved
Lor Bak,Five-spice marinated pork rolls deep-fried until crisp.,"pork, beancurd skin, five spice powder, garlic, soy sauce","Prepare and measure all ingredients required for lor bak before you start cooking. | Heat a pan, pot, or wok and cook the aromatics until fragrant to build flavor. | Add the main ingredients and seasonings, then cook until the textures are just right. | Adjust seasoning to taste and serve immediately while hot and fresh.","Singaporean, snack, pork",Singaporean,Medium,25,2,520,Non-Halal,,system,approved
Prawn Paste Chicken (Har Cheong Gai),Crispy chicken wings marinated in fermented prawn paste.,"chicken wings, prawn paste, rice flour, cornstarch, garlic","Prepare and measure all ingredients required for prawn paste chicken (har cheong gai) before you start cooking. | Heat a pan, pot, or wok and cook the aromatics until fragrant to build flavor. | Add the main ingredients and seasonings, then cook until the textures are just right. | Adjust seasoning to taste and serve immediately while hot and fresh.","Singaporean, fried, appetizer",Singaporean,Medium,25,2,520,Halal,,system,approved
Claypot Rice,"Rice cooked in a claypot with chicken, Chinese sausage, and mushrooms.","rice, chicken, Chinese sausage, mushrooms, dark soy sauce, ginger","Prepare and measure all ingredients required for claypot rice before you start cooking. | Heat a pan, pot, or wok and cook the aromatics until fragrant to build flavor. | Add the main ingredients and seasonings, then cook until the textures are just right. | Adjust seasoning to taste and serve immediately while hot and fresh.","Singaporean, rice, claypot",Singaporean,Medium,25,2,520,Non-Halal,,system,approved
Teochew Porridge Set,Light rice porridge served with assorted side dishes.,"rice, water, salt, pickles, fish, vegetables","Prepare and measure all ingredients required for teochew porridge set before you start cooking. | Heat a pan, pot, or wok and cook the aromatics until fragrant to build flavor. | Add the main ingredients and seasonings, then cook until the textures are just right. | Adjust seasoning to taste and serve immediately while hot and fresh.","Singaporean, porridge, light",Singaporean,Medium,25,2,520,Halal,,system,approved
Salted Egg Prawns,Crispy prawns coated in creamy salted egg yolk sauce.,"prawns, salted egg yolks, curry leaves, chili, butter, evaporated milk","Prepare and measure all ingredients required for salted egg prawns before you start cooking. | Heat a pan, pot, or wok and cook the aromatics until fragrant to build flavor. | Add the main ingredients and seasonings, then cook until the textures are just right. | Adjust seasoning to taste and serve immediately while hot and fresh.","Singaporean, seafood, rich",Singaporean,Medium,25,2,520,Halal,,system,approved
Black Pepper Crab,Stir-fried crab tossed in bold black pepper sauce.,"crab, black pepper, garlic, butter, soy sauce","Prepare and measure all ingredients required for black pepper crab before you start cooking. | Heat a pan, pot, or wok and cook the aromatics until fragrant to build flavor. | Add the main ingredients and seasonings, then cook until the textures are just right. | Adjust seasoning to taste and serve immediately while hot and fresh.","Singaporean, seafood, spicy",Singaporean,Medium,25,2,520,Halal,,system,approved
Hainanese Pork Chop,Crispy pork chops with tangy tomato gravy.,"pork chops, breadcrumbs, egg, tomato sauce, onion, peas","Prepare and measure all ingredients required for hainanese pork chop before you start cooking. | Heat a pan, pot, or wok and cook the aromatics until fragrant to build flavor. | Add the main ingredients and seasonings, then cook until the textures are just right. | Adjust seasoning to taste and serve immediately while hot and fresh.","Singaporean, western, hawker",Singaporean,Medium,25,2,520,Non-Halal,,system,approved
Sambal Kangkong,Water spinach stir-fried with spicy sambal belacan.,"kangkong, sambal, garlic, belacan, chilies","Prepare and measure all ingredients required for sambal kangkong before you start cooking. | Heat a pan, pot, or wok and cook the aromatics until fragrant to build flavor. | Add the main ingredients and seasonings, then cook until the textures are just right. | Adjust seasoning to taste and serve immediately while hot and fresh.","Singaporean, vegetable, spicy",Singaporean,Medium,25,2,520,Halal,,system,approved
Stir-fried Kai Lan with Garlic,Crisp Chinese broccoli tossed with fragrant garlic.,"kai lan, garlic, oil, salt","Prepare and measure all ingredients required for stir-fried kai lan with garlic before you start cooking. | Heat a pan, pot, or wok and cook the aromatics until fragrant to build flavor. | Add the main ingredients and seasonings, then cook until the textures are just right. | Adjust seasoning to taste and serve immediately while hot and fresh.","Singaporean, vegetable, simple",Singaporean,Medium,25,2,520,Vegan,,system,approved
Fried Rice with Ikan Bilis,Fragrant fried rice topped with crispy anchovies.,"rice, ikan bilis, egg, garlic, spring onion, soy sauce","Prepare and measure all ingredients required for fried rice with ikan bilis before you start cooking. | Heat a pan, pot, or wok and cook the aromatics until fragrant to build flavor. | Add the main ingredients and seasonings, then cook until the textures are just right. | Adjust seasoning to taste and serve immediately while hot and fresh.","Singaporean, rice, fried",Singaporean,Medium,25,2,520,Halal,,system,approved
Mee Rebus,Yellow noodles coated in a thick sweet-spicy gravy and garnishes.,"yellow noodles, sweet potato, soybeans, spices, egg, tofu","Prepare and measure all ingredients required for mee rebus before you start cooking. | Heat a pan, pot, or wok and cook the aromatics until fragrant to build flavor. | Add the main ingredients and seasonings, then cook until the textures are just right. | Adjust seasoning to taste and serve immediately while hot and fresh.","Singaporean, noodles, gravy",Singaporean,Medium,25,2,520,Halal,,system,approved
Rojak,Tangy-sweet salad of fruits and vegetables with prawn paste dressing.,"cucumber, pineapple, you tiao, peanut, shrimp paste, palm sugar","Prepare and measure all ingredients required for rojak before you start cooking. | Heat a pan, pot, or wok and cook the aromatics until fragrant to build flavor. | Add the main ingredients and seasonings, then cook until the textures are just right. | Adjust seasoning to taste and serve immediately while hot and fresh.","Singaporean, salad, snack",Singaporean,Easy,25,2,520,Halal,,system,approved
Tau Huay (Soy Pudding),Silky soy bean pudding served chilled or warm.,"soy milk, gypsum powder, sugar syrup","Prepare and measure all ingredients required for tau huay (soy pudding) before you start cooking. | Heat a pan, pot, or wok and cook the aromatics until fragrant to build flavor. | Add the main ingredients and seasonings, then cook until the textures are just right. | Adjust seasoning to taste and serve immediately while hot and fresh.","Singaporean, dessert, soy",Singaporean,Easy,15,2,380,Vegan,,system,approved
Milo Dinosaur,Iced malted chocolate drink topped with extra Milo powder.,"milo, milk, water, ice, sugar","Prepare and measure all ingredients required for milo dinosaur before you start cooking. | Heat a pan, pot, or wok and cook the aromatics until fragrant to build flavor. | Add the main ingredients and seasonings, then cook until the textures are just right. | Adjust seasoning to taste and serve immediately while hot and fresh.","Singaporean, beverage, cafe",Singaporean,Easy,15,2,380,Vegetarian,,system,approved
Ice Kachang,"Shaved ice dessert with syrups, jelly, and sweet corn.","shaved ice, red beans, attap chee, jelly, sweet corn, syrups","Prepare and measure all ingredients required for ice kachang before you start cooking. | Heat a pan, pot, or wok and cook the aromatics until fragrant to build flavor. | Add the main ingredients and seasonings, then cook until the textures are just right. | Adjust seasoning to taste and serve immediately while hot and fresh.","Singaporean, dessert, shaved ice",Singaporean,Easy,15,2,380,Vegetarian,,system,approved
Chendol,Coconut milk dessert with green jelly noodles and gula melaka.,"coconut milk, chendol jelly, gula melaka, shaved ice","Prepare and measure all ingredients required for chendol before you start cooking. | Heat a pan, pot, or wok and cook the aromatics until fragrant to build flavor. | Add the main ingredients and seasonings, then cook until the textures are just right. | Adjust seasoning to taste and serve immediately while hot and fresh.","Singaporean, dessert, coconut",Singaporean,Easy,15,2,380,Vegetarian,,system,approved
